review_id,review_text,rating,date,thumbs_up,reviewer_name,reply_text,reply_date,app_name,bank,source,language,device,app_version,cleaned_text,word_count,key_phrases,phrase_count,rating_category,sentiment_intensity,length_category,days_since_review,review_month,review_year,review_quarter,month_year
BOA_20251203_000000,Bank of Abyssinia (BOA) mobile banking needs major improvements.,1,2025-08-23,42,User_244742,,,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Pixel,3.7.78,bank abyssinia boa mobile banking needs major improvements.,8,['mobile banking'],1,negative,strong,short,102,8,2025,3,2025-08
BOA_20251203_000001,Bank of Abyssinia (BOA) app is functional but not exceptional.,3,2025-10-01,5,User_203279,,,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Samsung Galaxy,3.6.68,bank abyssinia boa app functional exceptional.,6,[],0,neutral,neutral,short,63,10,2025,4,2025-10
BOA_20251203_000002,Bank of Abyssinia (BOA) app has login errors. Needs urgent fixing.,2,2025-08-19,11,User_728106,,,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Huawei,1.5.68,bank abyssinia boa app login errors. needs urgent fixing.,9,[],0,negative,moderate,short,106,8,2025,3,2025-08
BOA_20251203_000003,Bank of Abyssinia (BOA) app is not reliable for banking.,2,2025-10-09,15,User_317413,We apologize for the inconvenience. Our team is investigating.,2025-10-13,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Pixel,3.1.61,bank abyssinia boa app reliable banking.,6,[],0,negative,moderate,short,55,10,2025,4,2025-10
BOA_20251203_000005,Needs improvement. Bank of Abyssinia (BOA) app suffers from app not working.,1,2025-11-15,25,User_615597,,,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Pixel,4.3.88,needs improvement. bank abyssinia boa app suffers app working.,9,[],0,negative,strong,short,18,11,2025,4,2025-11
BOA_20251203_000006,Bank of Abyssinia (BOA) mobile banking works perfectly for me.,4,2025-11-04,13,User_518960,Thank you for your positive feedback! We're glad you like our app.,2025-11-05,Bank of Abyssinia (BOA),BOA,Google Play Store,en,iPhone,2.4.73,bank abyssinia boa mobile banking works perfectly me.,8,['mobile banking'],1,positive,moderate,short,29,11,2025,4,2025-11
BOA_20251203_000007,Bank of Abyssinia (BOA) app is amazing! good design.,4,2025-08-26,3,User_182331,,,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Samsung Galaxy,2.1.94,bank abyssinia boa app amazing! good design.,7,[],0,positive,moderate,short,99,8,2025,3,2025-08
BOA_20251203_000009,Great experience with Bank of Abyssinia (BOA). good design.,5,2025-11-27,14,User_995688,,,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Samsung Galaxy,3.7.0,great experience bank abyssinia boa. good design.,7,[],0,positive,strong,short,6,11,2025,4,2025-11
BOA_20251203_000010,Bank of Abyssinia (BOA) app is okay but could be better.,3,2025-09-20,2,User_341717,,,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Xiaomi,3.9.17,bank abyssinia boa app okay could better.,7,[],0,neutral,neutral,short,74,9,2025,3,2025-09
BOA_20251203_000012,Terrible experience with Bank of Abyssinia (BOA) app.,1,2025-08-18,30,User_556349,,,Bank of Abyssinia (BOA),BOA,Google Play Store,en,Pixel,2.0.17,terrible experience bank abyssinia boa app.,6,[],0,negative,strong,short,107,8,2025,3,2025-08
