review_id,review_text,rating,date,thumbs_up,reviewer_name,reply_text,reply_date,app_name,bank,source,language,device,app_version,cleaned_text,word_count,key_phrases,phrase_count,rating_category,sentiment_intensity,length_category,days_since_review,review_month,review_year,review_quarter,month_year
CBE_20251203_000000,Commercial Bank of Ethiopia (CBE) app is amazing! easy to use.,4,2025-07-03,5,User_300808,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Pixel,2.5.17,commercial bank ethiopia cbe app amazing! easy use.,8,[],0,positive,moderate,short,153,7,2025,3,2025-07
CBE_20251203_000001,Commercial Bank of Ethiopia (CBE) app is okay but could be better.,3,2025-10-25,3,User_774317,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,4.3.80,commercial bank ethiopia cbe app okay could better.,8,[],0,neutral,neutral,short,39,10,2025,4,2025-10
CBE_20251203_000002,Commercial Bank of Ethiopia (CBE) mobile banking works perfectly for me.,5,2025-11-13,8,User_225652,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Xiaomi,1.6.10,commercial bank ethiopia cbe mobile banking works perfectly me.,9,['mobile banking'],1,positive,strong,short,20,11,2025,4,2025-11
CBE_20251203_000004,Very good experience with Commercial Bank of Ethiopia (CBE) mobile banking.,5,2025-11-19,16,User_154870,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,4.0.92,good experience commercial bank ethiopia cbe mobile banking.,8,['mobile banking'],1,positive,strong,short,14,11,2025,4,2025-11
CBE_20251203_000005,Commercial Bank of Ethiopia (CBE) app works but needs improvements.,3,2025-11-16,7,User_865489,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Pixel,4.3.70,commercial bank ethiopia cbe app works needs improvements.,8,[],0,neutral,neutral,short,17,11,2025,4,2025-11
CBE_20251203_000006,Commercial Bank of Ethiopia (CBE) app has app crashes. Needs urgent fixing.,2,2025-11-09,18,User_177163,We're sorry to hear about your experience. Contact support for help.,2025-11-20,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,iPhone,4.9.95,commercial bank ethiopia cbe app app crashes. needs urgent fixing.,10,['app crash'],1,negative,moderate,medium,24,11,2025,4,2025-11
CBE_20251203_000007,Best banking app! easy to use for Commercial Bank of Ethiopia (CBE).,5,2025-06-11,7,User_240469,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Xiaomi,2.3.55,best banking app! easy use commercial bank ethiopia cbe.,9,['banking app'],1,positive,strong,short,175,6,2025,2,2025-06
CBE_20251203_000008,Commercial Bank of Ethiopia (CBE) app is functional but not exceptional.,3,2025-10-27,6,User_407561,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,3.3.34,commercial bank ethiopia cbe app functional exceptional.,7,[],0,neutral,neutral,short,37,10,2025,4,2025-10
CBE_20251203_000009,Very unhappy with Commercial Bank of Ethiopia (CBE) app quality.,1,2025-06-21,17,User_704700,We're sorry to hear about your experience. Contact support for help.,2025-07-03,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,iPhone,4.7.47,unhappy commercial bank ethiopia cbe app quality.,7,[],0,negative,strong,short,165,6,2025,2,2025-06
CBE_20251203_000010,Commercial Bank of Ethiopia (CBE) app is amazing! convenient banking.,5,2025-06-12,40,User_369734,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Huawei,3.0.59,commercial bank ethiopia cbe app amazing! convenient banking.,8,[],0,positive,strong,short,174,6,2025,2,2025-06
CBE_20251203_000011,Very disappointed with Commercial Bank of Ethiopia (CBE). app freezes.,1,2025-06-17,24,User_298692,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,4.5.61,disappointed commercial bank ethiopia cbe. app freezes.,7,[],0,negative,strong,short,169,6,2025,2,2025-06
CBE_20251203_000012,Decent app from Commercial Bank of Ethiopia (CBE) for basic banking.,3,2025-09-02,7,User_942500,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Huawei,4.5.49,decent app commercial bank ethiopia cbe basic banking.,8,[],0,neutral,neutral,short,92,9,2025,3,2025-09
CBE_20251203_000014,Average experience with Commercial Bank of Ethiopia (CBE) mobile banking.,3,2025-10-11,9,User_812333,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Pixel,2.2.6,average experience commercial bank ethiopia cbe mobile banking.,8,['mobile banking'],1,neutral,neutral,short,53,10,2025,4,2025-10
CBE_20251203_000015,Commercial Bank of Ethiopia (CBE) app is amazing! excellent app.,5,2025-09-27,30,User_591260,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,2.6.40,commercial bank ethiopia cbe app amazing! excellent app.,8,['excellent app'],1,positive,strong,short,67,9,2025,3,2025-09
CBE_20251203_000016,Very disappointed with Commercial Bank of Ethiopia (CBE). transaction failures.,1,2025-06-11,12,User_576762,We apologize for the inconvenience. Our team is investigating.,2025-06-24,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Xiaomi,4.9.38,disappointed commercial bank ethiopia cbe. transaction failures.,7,[],0,negative,strong,short,175,6,2025,2,2025-06
CBE_20251203_000017,Commercial Bank of Ethiopia (CBE) has the best banking app in Ethiopia.,5,2025-07-18,9,User_567169,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,iPhone,2.0.90,commercial bank ethiopia cbe best banking app ethiopia.,8,['banking app'],1,positive,strong,short,138,7,2025,3,2025-07
CBE_20251203_000018,Highly recommend Commercial Bank of Ethiopia (CBE). good UI.,5,2025-11-17,31,User_465630,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,1.0.44,highly recommend commercial bank ethiopia cbe. good ui.,8,[],0,positive,strong,short,16,11,2025,4,2025-11
CBE_20251203_000019,Excellent app from Commercial Bank of Ethiopia (CBE)! Very satisfied.,4,2025-10-06,4,User_269962,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,iPhone,2.8.79,excellent app commercial bank ethiopia cbe! satisfied.,7,['excellent app'],1,positive,moderate,short,58,10,2025,4,2025-10
CBE_20251203_000020,transaction failures with Commercial Bank of Ethiopia (CBE) app. Very frustrating.,1,2025-11-13,13,User_439900,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,4.6.82,transaction failures commercial bank ethiopia cbe app. frustrating.,8,[],0,negative,strong,short,20,11,2025,4,2025-11
CBE_20251203_000021,Commercial Bank of Ethiopia (CBE) app has update issues. Needs urgent fixing.,1,2025-06-26,31,User_225197,We're sorry to hear about your experience. Contact support for help.,2025-07-06,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Xiaomi,3.9.65,commercial bank ethiopia cbe app update issues. needs urgent fixing.,10,['update issue'],1,negative,strong,medium,160,6,2025,2,2025-06
CBE_20251203_000023,Worst banking app experience with Commercial Bank of Ethiopia (CBE).,1,2025-09-13,19,User_175892,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,iPhone,2.1.13,worst banking app experience commercial bank ethiopia cbe.,8,['banking app'],1,negative,strong,short,81,9,2025,3,2025-09
CBE_20251203_000024,Commercial Bank of Ethiopia (CBE) app has slow transfers. Needs urgent fixing.,2,2025-08-11,16,User_572874,Thank you for the review. We're constantly improving our app.,2025-08-23,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Huawei,1.4.25,commercial bank ethiopia cbe app slow transfers. needs urgent fixing.,10,['slow transfer'],1,negative,moderate,medium,114,8,2025,3,2025-08
CBE_20251203_000025,Best banking app! fast transactions for Commercial Bank of Ethiopia (CBE).,4,2025-07-31,5,User_208799,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Pixel,4.0.62,best banking app! fast transactions commercial bank ethiopia cbe.,9,['banking app'],1,positive,moderate,short,125,7,2025,3,2025-07
CBE_20251203_000029,Commercial Bank of Ethiopia (CBE) app has biometric login fails. Needs urgent fixing.,1,2025-06-21,21,User_694499,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Pixel,4.0.89,commercial bank ethiopia cbe app biometric login fails. needs urgent fixing.,11,['biometric login'],1,negative,strong,medium,165,6,2025,2,2025-06
CBE_20251203_000030,Commercial Bank of Ethiopia (CBE) app is amazing! secure banking.,4,2025-09-13,9,User_900792,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Xiaomi,1.4.17,commercial bank ethiopia cbe app amazing! secure banking.,8,[],0,positive,moderate,short,81,9,2025,3,2025-09
CBE_20251203_000032,Great experience with Commercial Bank of Ethiopia (CBE). excellent app.,4,2025-09-03,16,User_176596,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Pixel,3.1.71,great experience commercial bank ethiopia cbe. excellent app.,8,['excellent app'],1,positive,moderate,short,91,9,2025,3,2025-09
CBE_20251203_000033,Highly recommend Commercial Bank of Ethiopia (CBE). excellent app.,5,2025-06-25,17,User_475850,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Pixel,3.0.97,highly recommend commercial bank ethiopia cbe. excellent app.,8,['excellent app'],1,positive,strong,short,161,6,2025,2,2025-06
CBE_20251203_000034,Poor experience. Commercial Bank of Ethiopia (CBE) app has update issues.,1,2025-10-10,29,User_912046,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Xiaomi,2.4.62,poor experience. commercial bank ethiopia cbe app update issues.,9,['update issue'],1,negative,strong,short,54,10,2025,4,2025-10
CBE_20251203_000035,Great experience with Commercial Bank of Ethiopia (CBE). fast transactions.,4,2025-07-03,13,User_327598,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,iPhone,4.3.26,great experience commercial bank ethiopia cbe. fast transactions.,8,[],0,positive,moderate,short,153,7,2025,3,2025-07
CBE_20251203_000036,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from app crashes.,1,2025-10-20,10,User_796243,Thanks for bringing this to our attention. We'll fix it soon.,2025-10-25,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,iPhone,1.2.25,needs improvement. commercial bank ethiopia cbe app suffers app crashes.,10,['app crash'],1,negative,strong,medium,44,10,2025,4,2025-10
CBE_20251203_000038,Commercial Bank of Ethiopia (CBE) app is amazing! reliable service.,5,2025-09-02,27,User_394512,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,2.4.15,commercial bank ethiopia cbe app amazing! reliable service.,8,[],0,positive,strong,short,92,9,2025,3,2025-09
CBE_20251203_000043,Commercial Bank of Ethiopia (CBE) mobile banking needs major improvements.,2,2025-07-08,9,User_553938,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Huawei,2.5.41,commercial bank ethiopia cbe mobile banking needs major improvements.,9,['mobile banking'],1,negative,moderate,short,148,7,2025,3,2025-07
CBE_20251203_000048,Commercial Bank of Ethiopia (CBE) app has transaction failures. Needs urgent fixing.,1,2025-07-22,21,User_343472,Thank you for the review. We're constantly improving our app.,2025-07-31,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,iPhone,2.7.72,commercial bank ethiopia cbe app transaction failures. needs urgent fixing.,10,[],0,negative,strong,medium,134,7,2025,3,2025-07
CBE_20251203_000051,Great experience with Commercial Bank of Ethiopia (CBE). good UI.,5,2025-06-28,25,User_414315,Thank you for your positive feedback! We're glad you like our app.,2025-06-30,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,2.6.78,great experience commercial bank ethiopia cbe. good ui.,8,[],0,positive,strong,short,158,6,2025,2,2025-06
CBE_20251203_000052,Commercial Bank of Ethiopia (CBE) app has app freezes. Needs urgent fixing.,1,2025-10-04,7,User_482107,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Huawei,4.6.72,commercial bank ethiopia cbe app app freezes. needs urgent fixing.,10,[],0,negative,strong,medium,60,10,2025,4,2025-10
CBE_20251203_000056,Best banking app! secure banking for Commercial Bank of Ethiopia (CBE).,4,2025-11-19,10,User_730680,,,Commercial Bank of Ethiopia (CBE),CBE,Google Play Store,en,Samsung Galaxy,1.0.37,best banking app! secure banking commercial bank ethiopia cbe.,9,['banking app'],1,positive,moderate,short,14,11,2025,4,2025-11
