review_id,bank,rating,rating_category,date,word_count,thumbs_up,review_text
CBE_20251203_000000,CBE,4,positive,2025-07-03,8,5,Commercial Bank of Ethiopia (CBE) app is amazing! easy to use.
CBE_20251203_000001,CBE,3,neutral,2025-10-25,8,3,Commercial Bank of Ethiopia (CBE) app is okay but could be better.
CBE_20251203_000002,CBE,5,positive,2025-11-13,9,8,Commercial Bank of Ethiopia (CBE) mobile banking works perfectly for me.
CBE_20251203_000004,CBE,5,positive,2025-11-19,8,16,Very good experience with Commercial Bank of Ethiopia (CBE) mobile banking.
CBE_20251203_000005,CBE,3,neutral,2025-11-16,8,7,Commercial Bank of Ethiopia (CBE) app works but needs improvements.
CBE_20251203_000006,CBE,2,negative,2025-11-09,10,18,Commercial Bank of Ethiopia (CBE) app has app crashes. Needs urgent fixing.
CBE_20251203_000007,CBE,5,positive,2025-06-11,9,7,Best banking app! easy to use for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000008,CBE,3,neutral,2025-10-27,7,6,Commercial Bank of Ethiopia (CBE) app is functional but not exceptional.
CBE_20251203_000009,CBE,1,negative,2025-06-21,7,17,Very unhappy with Commercial Bank of Ethiopia (CBE) app quality.
CBE_20251203_000010,CBE,5,positive,2025-06-12,8,40,Commercial Bank of Ethiopia (CBE) app is amazing! convenient banking.
CBE_20251203_000011,CBE,1,negative,2025-06-17,7,24,Very disappointed with Commercial Bank of Ethiopia (CBE). app freezes.
CBE_20251203_000012,CBE,3,neutral,2025-09-02,8,7,Decent app from Commercial Bank of Ethiopia (CBE) for basic banking.
CBE_20251203_000014,CBE,3,neutral,2025-10-11,8,9,Average experience with Commercial Bank of Ethiopia (CBE) mobile banking.
CBE_20251203_000015,CBE,5,positive,2025-09-27,8,30,Commercial Bank of Ethiopia (CBE) app is amazing! excellent app.
CBE_20251203_000016,CBE,1,negative,2025-06-11,7,12,Very disappointed with Commercial Bank of Ethiopia (CBE). transaction failures.
CBE_20251203_000017,CBE,5,positive,2025-07-18,8,9,Commercial Bank of Ethiopia (CBE) has the best banking app in Ethiopia.
CBE_20251203_000018,CBE,5,positive,2025-11-17,8,31,Highly recommend Commercial Bank of Ethiopia (CBE). good UI.
CBE_20251203_000019,CBE,4,positive,2025-10-06,7,4,Excellent app from Commercial Bank of Ethiopia (CBE)! Very satisfied.
CBE_20251203_000020,CBE,1,negative,2025-11-13,8,13,transaction failures with Commercial Bank of Ethiopia (CBE) app. Very frustrating.
CBE_20251203_000021,CBE,1,negative,2025-06-26,10,31,Commercial Bank of Ethiopia (CBE) app has update issues. Needs urgent fixing.
CBE_20251203_000023,CBE,1,negative,2025-09-13,8,19,Worst banking app experience with Commercial Bank of Ethiopia (CBE).
CBE_20251203_000024,CBE,2,negative,2025-08-11,10,16,Commercial Bank of Ethiopia (CBE) app has slow transfers. Needs urgent fixing.
CBE_20251203_000025,CBE,4,positive,2025-07-31,9,5,Best banking app! fast transactions for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000029,CBE,1,negative,2025-06-21,11,21,Commercial Bank of Ethiopia (CBE) app has biometric login fails. Needs urgent fixing.
CBE_20251203_000030,CBE,4,positive,2025-09-13,8,9,Commercial Bank of Ethiopia (CBE) app is amazing! secure banking.
CBE_20251203_000032,CBE,4,positive,2025-09-03,8,16,Great experience with Commercial Bank of Ethiopia (CBE). excellent app.
